keys,en,de,ru,hu
HLA-NoVR-Launcher,Half-Life: Alyx NoVR Launcher,Half-Life: Alyx NoVR Launcher
PRIMARY_ATTACK,Primary Attack,Primärer Angriff,Основная атака,Elsődleges támadás
SECONDARY_ATTACK,Secondary Attack,Sekundärer Angriff,Вторичная атака,Másodlagos támadás
TERTIARY_ATTACK,Tertiary Attack,Tertiärer Angriff,Третичная атака,Harmadlagos támadás
GRENADE,Grenade,Granate,Граната,Gránát
RELOAD,Reload,Nachladen,Перезарядка,Újratöltés
QUICK_SWAP,Quick Swap,Schneller Wechsel,Быстрая смена оружия,Gyors váltás
MOVE_FORWARD,Move Forward,Vorwärts Bewegen,Двигаться вперёд,Mozgás előre
MOVE_BACK,Move Backward,Rückwärts Bewegen,Двигаться назад,Mozgás hátra
MOVE_LEFT,Move Left,Links Bewegen,Двигаться влево,Mozgás balra
MOVE_RIGHT,Move Right,Rechts Bewegen,Двигаться вправо,Mozgás jobbra
JUMP,Jump,Springen,Прыжок,Ugrás
CONSOLE,Console,Konsole,Консоль,Konzol
CROUCH,Crouch,Ducken,Присесть,Guggolás
SPRINT,Sprint,Sprinten,Бег,Futás
INTERACT,Interact,Interagieren,Взаимодействие,Interakció
FLASHLIGHT,Flashlight,Taschenlampe,Фонарик,Zseblámpa
COVER_MOUTH,Cover Mouth,Mund Verdecken,Прикрыть рот,Takard el a szád
QUICK_SAVE,Quick Save,Schnell Speichern,Быстрое сохранение,Gyorsmentés
QUICK_LOAD,Quick Load,Schnell Laden,Быстрая загрузка,Gyorsbetöltés
NOCLIP,Noclip,Noclip,Noclip,Noclip
VIEWM_INSPECT,Inspect Weapon,Waffe Inspizieren,Осмотреть оружие,Fegyver ellenőrzés
ZOOM,Zoom,Zoom,Увеличение,Nagyítás
USE_HEALTHPEN,Use Health Pen,Gesundheitsstift Benutzen,Использовать шприц со здоровьем,Regeneráló toll használata
DROP_ITEM,Drop Item,Gegenstand Fallen Lassen,Бросить,Tétel eldobás
UNEQUIP_WEARABLE,Unequip Wearable,Tragbares Fallen Lassen,Скинуть вещь,Felszerelés nélkül hordható
